x,y,z,pressure,cp,lift,drag
2.5,-4.5,0,7488.39,-5.28638,549.762,27.224
2.5,-4.27975,0,11414.2,-5.06204,2431.91,67.1589
2.5,-3.64058,0,13730.6,-4.92968,4556.48,84.4874
2.5,-2.64503,0,14885.7,-4.86367,6224.51,86.7936
2.5,-1.39058,0,15349.8,-4.83715,7115.03,85.1457
2.5,-2.75546e-16,0,15349.8,-4.83715,7115.03,85.1457
2.5,1.39058,0,14885.7,-4.86367,6224.51,86.7936
2.5,2.64503,0,13730.6,-4.92968,4556.48,84.4874
2.5,3.64058,0,11414.2,-5.06204,2431.91,67.1589
2.5,4.27975,0,7488.39,-5.28638,549.762,27.224
2.5,4.5,0,,,,
2.83333,-4.5,0,2316.33,-5.58192,170.054,9.97669
2.83333,-4.27975,0,4127.55,-5.47843,879.413,33.803
2.83333,-3.64058,0,5314.19,-5.41062,1763.5,41.1177
2.83333,-2.64503,0,5873.42,-5.37866,2455.99,39.7028
2.83333,-1.39058,0,6089.31,-5.36633,2822.55,37.7401
2.83333,-2.75546e-16,-0,6089.31,-5.36633,2822.55,37.7401
2.83333,1.39058,0,5873.42,-5.37866,2455.99,39.7028
2.83333,2.64503,0,5314.19,-5.41062,1763.5,41.1177
2.83333,3.64058,0,4127.55,-5.47843,879.413,33.803
2.83333,4.27975,0,2316.33,-5.58192,170.054,9.97669
2.83333,4.5,0,,,,
3.16667,-4.5,0,1072.95,-5.65297,78.7709,4.82355
3.16667,-4.27975,0,1921.77,-5.60447,409.45,18.0916
3.16667,-3.64058,0,2581.81,-5.56675,856.769,23.1257
3.16667,-2.64503,0,2899.99,-5.54857,1212.64,21.9209
3.16667,-1.39058,0,3021.07,-5.54165,1400.34,20.4855
3.16667,-2.75546e-16,-0,3021.07,-5.54165,1400.34,20.4855
3.16667,1.39058,0,2899.99,-5.54857,1212.64,21.9209
3.16667,2.64503,0,2581.81,-5.56675,856.769,23.1257
3.16667,3.64058,0,1921.77,-5.60447,409.45,18.0916
3.16667,4.27975,0,1072.95,-5.65297,78.7709,4.82355
3.16667,4.5,0,,,,
3.5,-4.5,0,,,,
3.5,-4.27975,0,,,,
3.5,-3.64058,0,,,,
3.5,-2.64503,0,,,,
3.5,-1.39058,0,,,,
3.5,-2.75546e-16,-0,,,,
3.5,1.39058,0,,,,
3.5,2.64503,0,,,,
3.5,3.64058,0,,,,
3.5,4.27975,0,,,,
3.5,4.5,0,,,,
