x,y,z,Cl,alpha_e
2.52236,-4.49979,0.940241,0.184349,0.0262185
2.52091,-4.27954,0.880548,0.291707,0.0423748
2.5167,-3.64037,0.707313,0.356052,0.0527738
2.51046,-2.64486,0.448306,0.386744,0.0579923
2.50365,-1.39046,0.160243,0.400324,0.0603598
2.5,-2.75546e-16,0,0.400324,0.0603598
2.50365,1.39046,0.160243,0.386744,0.0579923
2.51046,2.64486,0.448306,0.356052,0.0527738
2.5167,3.64037,0.707313,0.291707,0.0423748
2.52091,4.27954,0.880549,0.184349,0.0262185
2.52236,4.49979,0.940242,,
2.8557,-4.49979,0.940277,0.0811621,1.35055e-311
2.85425,-4.27954,0.880583,-3.42253e-310,-1.56194e-207
2.85004,-3.64037,0.707346,0.00223519,1.35055e-311
2.84379,-2.64486,0.448336,0.00334994,0
2.83698,-1.39046,0.160263,0.00447587,1.0139e+253
2.83333,-2.75546e-16,0,0.00518936,1.3044e+88
2.83698,1.39046,0.160263,0.00554929,1.70114e+199
2.84379,2.64486,0.448336,0.00554929,1.29505e+171
2.85004,3.64037,0.707347,0.00518936,4.88631e+199
2.85425,4.27954,0.880584,0.00447587,6.0267e+175
2.8557,4.49979,0.940277,,
3.18903,-4.49979,0.940206,0.00334994,7.59237e-08
3.18758,-4.27954,0.880513,0.00223519,7.85762e-320
3.18337,-3.64037,0.707279,1.35055e-311,0
3.17713,-2.64486,0.448275,-3.47685e-310,-7.06371e-311
3.17031,-1.39046,0.160222,0,0.184349
3.16667,-2.75546e-16,0,0,0.291707
3.17031,1.39046,0.160222,0,0.356052
3.17713,2.64486,0.448275,0,0.386744
3.18337,3.64037,0.707279,0,0.400324
3.18758,4.27954,0.880514,0,0.400324
3.18903,4.49979,0.940206,,
3.52236,-4.49979,0.940136,,
3.52091,-4.27954,0.880444,,
3.5167,-3.64037,0.707211,,
3.51046,-2.64486,0.448214,,
3.50365,-1.39046,0.160181,,
3.5,-2.75546e-16,0,,
3.50365,1.39046,0.160181,,
3.51046,2.64486,0.448214,,
3.5167,3.64037,0.707211,,
3.52091,4.27954,0.880444,,
3.52236,4.49979,0.940136,,
