x,y,z,pressure,cp,lift,drag
2.52236,-4.49978,0.939239,7327.93,-5.29555,557.344,26.4554
2.52091,-4.27954,0.87961,11121.3,-5.07878,2454.78,64.2987
2.5167,-3.64037,0.706561,13334.7,-4.9523,4571.98,80.855
2.51046,-2.64485,0.44783,14449.3,-4.88861,6198.63,84.839
2.50365,-1.39046,0.160068,14985.5,-4.85797,6991.43,89.4287
2.5,-2.75546e-16,0,14985.5,-4.85797,6991.43,89.4287
2.50365,1.39046,0.160068,14449.3,-4.88861,6198.63,84.839
2.51046,2.64485,0.447831,13334.7,-4.9523,4571.98,80.855
2.5167,3.64037,0.706562,11121.3,-5.07878,2454.78,64.2987
2.52091,4.27954,0.879611,7327.93,-5.29555,557.344,26.4554
2.52236,4.49978,0.93924,,,,
2.85569,-4.49978,0.939294,2287.39,-5.58358,173.973,9.85496
2.85424,-4.27954,0.879662,4059.8,-5.4823,896.107,32.6379
2.85003,-3.64037,0.706603,5185.25,-5.41799,1777.83,39.2144
2.84379,-2.64485,0.447861,5707.94,-5.38812,2448.66,38.6913
2.83698,-1.39046,0.160089,5921.3,-5.37593,2762.57,40.1694
2.83333,-2.75546e-16,0,5921.3,-5.37593,2762.57,40.1694
2.83698,1.39046,0.160089,5707.94,-5.38812,2448.66,38.6913
2.84379,2.64485,0.447861,5185.25,-5.41799,1777.83,39.2144
2.85003,3.64037,0.706604,4059.8,-5.4823,896.107,32.6379
2.85424,4.27954,0.879663,2287.39,-5.58358,173.973,9.85496
2.85569,4.49978,0.939295,,,,
3.18902,-4.49978,0.939184,1071.21,-5.65307,81.4726,4.79878
3.18757,-4.27954,0.879558,1900.97,-5.60566,419.593,17.5292
3.18336,-3.64037,0.706519,2524.5,-5.57003,865.554,21.9819
3.17712,-2.64485,0.4478,2819.46,-5.55317,1209.52,21.2354
3.17031,-1.39046,0.160047,2933.95,-5.54663,1368.82,21.7551
3.16667,-2.75546e-16,0,2933.95,-5.54663,1368.82,21.7551
3.17031,1.39046,0.160048,2819.46,-5.55317,1209.52,21.2354
3.17712,2.64485,0.4478,2524.5,-5.57003,865.554,21.9819
3.18336,3.64037,0.706519,1900.97,-5.60566,419.593,17.5292
3.18757,4.27954,0.879559,1071.21,-5.65307,81.4726,4.79878
3.18902,4.49978,0.939185,,,,
3.52236,-4.49978,0.939074,,,,
3.52091,-4.27954,0.879455,,,,
3.5167,-3.64037,0.706434,,,,
3.51046,-2.64485,0.447739,,,,
3.50365,-1.39046,0.160006,,,,
3.5,-2.75546e-16,0,,,,
3.50365,1.39046,0.160006,,,,
3.51046,2.64485,0.447739,,,,
3.5167,3.64037,0.706435,,,,
3.52091,4.27954,0.879456,,,,
3.52236,4.49978,0.939075,,,,
